"c.1..300...n_samples.."	"X1"	"X2"	"X3"
1	0.0454886183964656	0.99	0.131753297803517
2	0.355993058674936	0.625333719596641	0.99
3	0.99	0.99	0.235157841173014
4	0.270593488560963	0.99	0.99
5	0.99	0.0697578468244214	0.99
6	0.99	0.99	0.99
7	0.0292927051562477	0.110010281523349	0.0278563986300984
8	0.978945043739395	0.0107355789449935	0.895293664155441
9	0.163307876971673	0.171686651054562	0.0106511947636047
10	0.197693838250027	0.141563467475775	0.00909470020947272
11	0.972094600207212	0.138523177738953	0.99
12	0.0500442577616322	0.0130033461959532	0.0170503844029739
13	0.0123268782008078	0.339021876536231	0.496150039468975
14	0.99	0.02158247742588	0.99
15	0.409365028495017	0.150968458508492	0.99
16	0.0773758884574442	0.99	0.99
17	0.99	0.99	0.99
18	0.99	0.338604148792898	0.99
19	0.0124551177684475	0.801348017916134	0.689353817229782
20	0.333941877554669	0.103751923188746	0.0155749684634024
21	0.734002228151679	0.209491882174836	0.99
22	0.626935728740867	0.243203625061583	0.523845370229866
23	0.99	0.99	0.0955190980976634
24	0.0217320791114659	0.99	0.469669281491356
25	0.135284704196561	0.0500556869072336	0.99
26	0.99	0.99	0.50801215980317
27	0.0523224829957582	0.99	0.99
28	0.205915655879663	0.0665477623798838	0.99
29	0.99	0.954932711216877	0.99
30	0.99	0.469238846867808	0.933223484570589
31	0.00263562706827604	0.0351851557670028	0.99
32	0.0540923353554568	0.99	0.948547563378592
33	0.0242529716541001	0.0420506207628513	0.0373135835913919
34	0.00142729067748286	0.119470674005112	0.99
35	0.103562555331379	0.99	0.661808892722961
36	0.297228384553762	0.99	0.990675549100759
37	0.0228832004284143	0.483392847426758	0.99
38	0.0151936192393577	0.446155798630092	0.513409755419786
39	0.0484472632716169	0.149816088568844	0.934089945872513
40	0.0351705405850229	0.107830925369215	0.760539754083679
41	0.02722507610077	0.253059175825583	0.170960779062809
42	0.771901536413158	0.99	0.130503340578052
43	0.190388417935396	0.208844997926191	0.99
44	0.401734434772834	0.980721046755973	0.99
45	0.99	0.99	0.160305682314627
46	0.0150671077297588	0.248235956336511	0.99
47	0.508658846180849	0.99	0.357503902624871
48	0.00252442769442866	0.727084008791883	0.99
49	0.0273313447041747	0.578171125069403	0.638104074520859
50	0.0573927402469705	0.172935239209589	0.020855157629708
51	0.0374632396397585	0.0394450131697518	0.6922431584601
52	0.616466894916569	0.99	0.242116880794711
53	0.99	0.99	0.99
54	0.99	0.281455357643958	0.99
55	0.282785456729465	0.99	0.99
56	0.598393104819188	0.99	0.99
57	0.375191494300214	0.412552419333766	0.0389032185038221
58	0.99	0.99	0.99
59	0.99	0.99	0.99
60	0.99	0.593511721424086	0.00740793616179066
61	0.99	0.479691920137242	0.99
62	0.99	0.99	0.99
63	0.99	0.99	0.0412682410541063
64	0.99	0.99	0.99
65	0.99	0.99	0.854500069692277
66	0.99	0.99	0.0244704755587817
67	0.99	0.99	0.99
68	0.678281272533069	0.99	0.99
69	0.99	0.99	0.224998681617572
70	0.99	0.99	0.99
71	0.0140090331964527	0.99	0.99
72	0.99	0.99	0.99
73	0.99	0.424662991823038	0.99
74	0.356980971450776	0.99	0.502444853358784
75	0.99	0.99	0.99
76	0.99	0.175095260376952	0.99
77	0.99	0.99	0.994393451670496
78	0.156859709575595	0.449638662958693	0.99
79	0.761583405147313	0.99	0.99
80	0.99	0.99	0.973576667234002
81	0.606902650058183	0.0843669687924227	0.99
82	0.99	0.99	0.99
83	0.99	0.99	0.255155932052434
84	0.99	0.170641586231812	0.99
85	0.383884799350349	0.728803252298535	0.99
86	0.99	0.99	0.859943816180603
87	0.99	0.937719977169846	0.603741739194397
88	0.148792343525986	0.214361353319059	0.666550183143063
89	0.99	0.149351213707057	0.99
90	0.99	0.908587652550157	0.0204720507151761
91	0.104653457648944	0.0772879063829108	0.99
92	0.99	0.0165330617627699	0.99
93	0.99	0.0492703221903774	0.0246518037958579
94	0.99	0.99	0.68426670013708
95	0.903825123268383	0.0526922192554645	0.82999911367693
96	0.99	0.00698073748599452	0.223626981256128
97	0.99	0.99	0.196129717043581
98	0.461991674809248	0.99	0.99
99	0.99	0.0376958353827732	0.521403609492495
100	0.127533915134092	0.99	0.99
101	0.99	0.10464605020758	0.99
102	0.99	0.53946925086567	0.99
103	0.99	0.47722738880425	0.99
104	0.20831091495787	0.101847639624769	0.99
105	0.99	0.0123599833962653	0.708142458239185
106	0.99	0.17283482555846	0.99
107	0.99	0.295103995921223	0.99
108	0.99	0.119173429746875	0.99
109	0.0330526204409399	0.943173198718801	0.729153883184675
110	0.99	0.0608769638859448	0.99
111	0.99	0.663499876338705	0.485165736505091
112	0.0501528939959074	0.0438343121612986	0.902605096089421
113	0.99	0.109508666409391	0.99
114	0.99	0.57144462230671	0.148051943540308
115	0.0936147276700441	0.0944312531196054	0.038989951808089
116	0.99	0.0615000512315042	0.99
117	0.99	0.281223469913426	0.771052499970612
118	0.99	0.344388716471362	0.0685161388612415
119	0.99	0.0738435108940595	0.99
120	0.740927276448165	0.750325663803223	0.0468469177537399
121	0.103282679265073	0.109233367909747	0.0429785259283398
122	0.99	0.141787722915715	0.99
123	0.12167914357599	0.0575232787878676	0.99
124	0.0854432085152391	0.0594215267045294	0.0723915984855486
125	0.99	0.00886037790850062	0.99
